slide_id,slide_label,pos_instances,total_instances,pos_ratio
25,1,2908,4015,0.7242839352428394
58,1,2163,5776,0.37448060941828254
65,1,1683,3266,0.5153092467850582
91,1,1312,2548,0.5149136577708007
84,1,1312,2525,0.5196039603960396
169,1,1207,3355,0.35976154992548437
5,1,1069,5383,0.1985881478729333
34,1,1061,3373,0.31455677438482066
86,1,1055,2820,0.374113475177305
96,1,948,4477,0.2117489390216663
238,1,728,3958,0.1839312784234462
29,1,602,2302,0.26151172893136404
202,1,437,1286,0.33981337480559876
216,1,400,8678,0.046093569946992395
249,1,362,2061,0.17564289180009704
190,1,306,2958,0.10344827586206896
108,1,302,836,0.361244019138756
121,1,293,2338,0.1253207869974337
133,1,251,939,0.2673056443024494
149,1,247,1407,0.17555081734186212
88,1,235,2788,0.08428981348637016
114,1,224,3356,0.066746126340882
27,1,202,1281,0.15768930523028885
210,1,163,739,0.22056833558863329
245,1,147,4092,0.03592375366568915
125,1,145,1028,0.14105058365758755
21,1,141,1428,0.09873949579831932
166,1,137,2031,0.06745445593303791
228,1,117,2184,0.05357142857142857
128,1,114,4595,0.024809575625680088
90,1,101,1248,0.08092948717948718
35,1,101,2039,0.049534085335948996
132,1,96,3186,0.030131826741996232
160,1,92,1943,0.04734945959855893
38,1,87,2575,0.03378640776699029
226,1,83,4003,0.020734449163127656
75,1,81,3709,0.021838770558101916
224,1,81,1125,0.072
152,1,78,2641,0.02953426732298372
122,1,65,1952,0.033299180327868855
72,1,61,2618,0.023300229182582125
77,1,60,3209,0.01869741352446245
12,1,59,913,0.06462212486308871
47,1,58,3250,0.017846153846153845
131,1,57,3118,0.018280949326491342
189,1,53,1144,0.04632867132867133
187,1,50,4232,0.011814744801512287
92,1,47,1129,0.04162976085031001
85,1,43,3925,0.010955414012738853
51,1,40,1700,0.023529411764705882
172,1,40,2311,0.01730852444829078
52,1,39,394,0.09898477157360407
126,1,37,1711,0.02162478082992402
205,1,33,2561,0.012885591565794611
50,1,26,4808,0.005407653910149751
137,1,24,3173,0.007563819728963126
171,1,23,2149,0.010702652396463471
219,1,21,2545,0.008251473477406679
49,1,15,7025,0.002135231316725979
3,1,15,1971,0.0076103500761035
193,1,14,2562,0.00546448087431694
176,1,13,2439,0.005330053300533005
43,1,10,1250,0.008
213,1,9,2330,0.0038626609442060085
218,1,9,2484,0.0036231884057971015
232,1,8,1687,0.004742145820983995
185,1,8,1421,0.005629838142153413
55,1,7,1402,0.004992867332382311
26,1,7,1544,0.0045336787564766836
148,1,7,2983,0.0023466309084813944
178,1,7,3449,0.002029573789504204
184,1,5,1749,0.002858776443682104
64,1,5,1174,0.004258943781942078
69,1,5,1674,0.002986857825567503
11,1,4,608,0.006578947368421052
200,1,4,2400,0.0016666666666666668
31,1,3,4230,0.0007092198581560284
62,1,3,2124,0.0014124293785310734
23,1,3,1006,0.002982107355864811
192,1,2,3402,0.0005878894767783657
18,1,2,3072,0.0006510416666666666
118,1,2,894,0.0022371364653243847
78,1,2,1925,0.001038961038961039
165,1,2,1589,0.0012586532410320957
201,1,2,2838,0.0007047216349541931
174,1,1,2755,0.0003629764065335753
101,1,1,1715,0.0005830903790087463
241,1,1,949,0.001053740779768177
111,1,1,3849,0.0002598077422707197
155,1,1,917,0.0010905125408942203
83,1,1,3615,0.00027662517289073305
40,1,1,2847,0.00035124692658939234
